# Generated using a python script
# Convert to a table using `libime_tabledict`
#
# if you wanna use this as your IME, follow the install instructions at https://github.com/mun-luna/nasin-mun
# but make sure to delete the `./nasin-mun/` directory, and rename `./nasin-mun-combos/` to `./nasin-mun/`
# BEFORE using the nix module or the install script
# keep in mind that this is more a proof of concept than anything else, many improvements could be made
#
# all keys are generated in the format of "KeyOne-KeyTwo", if you need to use a particular joiner, navigate using the hint

KeyCode=ptkmnswljaeiou-
Length=15

[Data]
a 󱤀
kili-pana 󱤚󱦖󱥌
kili-pi 󱤚󱦖󱥍
kili-pilin 󱤚󱦖󱥎
kili-pimeja 󱤚󱦖󱥏
kili-pini 󱤚󱦖󱥐
kili-pipi 󱤚󱦖󱥑
kili-poka 󱤚󱦖󱥒
kili-poki 󱤚󱦖󱥓
kili-pona 󱤚󱦖󱥔
kili-pu 󱤚󱦖󱥕
kili-sama 󱤚󱦖󱥖
kili-seli 󱤚󱦖󱥗
kili-selo 󱤚󱦖󱥘
kili-seme 󱤚󱦖󱥙
kili-sewi 󱤚󱦖󱥚
kili-sijelo 󱤚󱦖󱥛
kili-sike 󱤚󱦖󱥜
kili-sin 󱤚󱦖󱥝
kili-sina 󱤚󱦖󱥞
kili-sinpin 󱤚󱦖󱥟
kili-sitelen 󱤚󱦖󱥠
kili-sona 󱤚󱦖󱥡
kili-soweli 󱤚󱦖󱥢
kili-suli 󱤚󱦖󱥣
kili-suno 󱤚󱦖󱥤
kili-supa 󱤚󱦖󱥥
kili-suwi 󱤚󱦖󱥦
kili-tan 󱤚󱦖󱥧
kili-taso 󱤚󱦖󱥨
kili-tawa 󱤚󱦖󱥩
kili-telo 󱤚󱦖󱥪
kili-tenpo 󱤚󱦖󱥫
kili-toki 󱤚󱦖󱥬
kili-tomo 󱤚󱦖󱥭
kili-tonsi 󱤚󱦖󱥾
kili-tu 󱤚󱦖󱥮
kili-unpa 󱤚󱦖󱥯
kili-uta 󱤚󱦖󱥰
kili-utala 󱤚󱦖󱥱
kili-walo 󱤚󱦖󱥲
kili-wan 󱤚󱦖󱥳
kili-waso 󱤚󱦖󱥴
kili-wawa 󱤚󱦖󱥵
kili-weka 󱤚󱦖󱥶
kili-wile 󱤚󱦖󱥷
kili-kijetesantakalu 󱤚󱦖󱦀
kili-kipisi 󱤚󱦖󱥻
kili-ku 󱤚󱦖󱦈
kili-leko 󱤚󱦖󱥼
kili-misikeke 󱤚󱦖󱦇
kili-n 󱤚󱦖󱦆
kili-namako 󱤚󱦖󱥸
kili-soko 󱤚󱦖󱦁
kili-epiku 󱤚󱦖󱦃
kili-jasima 󱤚󱦖󱥿
kili-lanpan 󱤚󱦖󱦅
kili-linluwi 󱤚󱦖󱦤
kili-majuna 󱤚󱦖󱦢
kili-meso 󱤚󱦖󱦂
kili-oko 󱤚󱦖󱥺
kili-su 󱤚󱦖󱦦
kin 󱥹
kin-a 󱥹‍󱤀
kin-akesi 󱥹‍󱤁
kin-ala 󱥹‍󱤂
kin-alasa 󱥹‍󱤃
kin-ale 󱥹‍󱤄
kin-anpa 󱥹‍󱤅
kin-ante 󱥹‍󱤆
kin-anu 󱥹‍󱤇
kin-awen 󱥹‍󱤈
kin-e 󱥹‍󱤉
kin-en 󱥹‍󱤊
kin-esun 󱥹‍󱤋
kin-ijo 󱥹‍󱤌
kin-ike 󱥹‍󱤍
kin-ilo 󱥹‍󱤎
kin-insa 󱥹‍󱤏
kin-jaki 󱥹‍󱤐
kin-jan 󱥹‍󱤑
kin-jelo 󱥹‍󱤒
kin-jo 󱥹‍󱤓
kin-kala 󱥹‍󱤔
kin-kalama 󱥹‍󱤕
kin-kama 󱥹‍󱤖
kin-kasi 󱥹‍󱤗
kin-ken 󱥹‍󱤘
kin-kepeken 󱥹‍󱤙
kin-kili 󱥹‍󱤚
kin-kin 󱥹‍󱥹
kin-kiwen 󱥹‍󱤛
kin-ko 󱥹‍󱤜
kin-kon 󱥹‍󱤝
kin-kule 󱥹‍󱤞
kin-kulupu 󱥹‍󱤟
kin-kute 󱥹‍󱤠
kin-la 󱥹‍󱤡
kin-lape 󱥹‍󱤢
kin-laso 󱥹‍󱤣
kin-lawa 󱥹‍󱤤
kin-len 󱥹‍󱤥
kin-lete 󱥹‍󱤦
kin-li 󱥹‍󱤧
kin-lili 󱥹‍󱤨
kin-linja 󱥹‍󱤩
kin-lipu 󱥹‍󱤪
kin-loje 󱥹‍󱤫
kin-lon 󱥹‍󱤬
kin-luka 󱥹‍󱤭
kin-lukin 󱥹‍󱤮
kin-lupa 󱥹‍󱤯
kin-ma 󱥹‍󱤰
kin-mama 󱥹‍󱤱
kin-mani 󱥹‍󱤲
kin-meli 󱥹‍󱤳
kin-mi 󱥹‍󱤴
kin-mije 󱥹‍󱤵
kin-moku 󱥹‍󱤶
kin-moli 󱥹‍󱤷
kin-monsi 󱥹‍󱤸
kin-monsuta 󱥹‍󱥽
kin-mu 󱥹‍󱤹
kin-mun 󱥹‍󱤺
kin-musi 󱥹‍󱤻
kin-mute 󱥹‍󱤼
kin-nanpa 󱥹‍󱤽
kin-nasa 󱥹‍󱤾
kin-nasin 󱥹‍󱤿
kin-nena 󱥹‍󱥀
kin-ni 󱥹‍󱥁
kin-nimi 󱥹‍󱥂
kin-noka 󱥹‍󱥃
kin-o 󱥹‍󱥄
kin-olin 󱥹‍󱥅
kin-ona 󱥹‍󱥆
kin-open 󱥹‍󱥇
kin-pakala 󱥹‍󱥈
kin-pali 󱥹‍󱥉
kin-palisa 󱥹‍󱥊
kin-pan 󱥹‍󱥋
kin-pana 󱥹‍󱥌
kin-pi 󱥹‍󱥍
kin-pilin 󱥹‍󱥎
kin-pimeja 󱥹‍󱥏
kin-pini 󱥹‍󱥐
kin-pipi 󱥹‍󱥑
kin-poka 󱥹‍󱥒
kin-poki 󱥹‍󱥓
kin-pona 󱥹‍󱥔
kin-pu 󱥹‍󱥕
kin-sama 󱥹‍󱥖
kin-seli 󱥹‍󱥗
kin-selo 󱥹‍󱥘
kin-seme 󱥹‍󱥙
kin-sewi 󱥹‍󱥚
kin-sijelo 󱥹‍󱥛
kin-sike 󱥹‍󱥜
kin-sin 󱥹‍󱥝
kin-sina 󱥹‍󱥞
kin-sinpin 󱥹‍󱥟
kin-sitelen 󱥹‍󱥠
kin-sona 󱥹‍󱥡
kin-soweli 󱥹‍󱥢
kin-suli 󱥹‍󱥣
kin-suno 󱥹‍󱥤
kin-supa 󱥹‍󱥥
kin-suwi 󱥹‍󱥦
kin-tan 󱥹‍󱥧
kin-taso 󱥹‍󱥨
kin-tawa 󱥹‍󱥩
kin-telo 󱥹‍󱥪
kin-tenpo 󱥹‍󱥫
kin-toki 󱥹‍󱥬
kin-tomo 󱥹‍󱥭
kin-tonsi 󱥹‍󱥾
kin-tu 󱥹‍󱥮
kin-unpa 󱥹‍󱥯
kin-uta 󱥹‍󱥰
kin-utala 󱥹‍󱥱
kin-walo 󱥹‍󱥲
kin-wan 󱥹‍󱥳
kin-waso 󱥹‍󱥴
kin-wawa 󱥹‍󱥵
kin-weka 󱥹‍󱥶
kin-wile 󱥹‍󱥷
kin-kijetesantakalu 󱥹‍󱦀
kin-kipisi 󱥹‍󱥻
kin-ku 󱥹‍󱦈
kin-leko 󱥹‍󱥼
kin-misikeke 󱥹‍󱦇
kin-n 󱥹‍󱦆
kin-namako 󱥹‍󱥸
kin-soko 󱥹‍󱦁
kin-epiku 󱥹‍󱦃
kin-jasima 󱥹‍󱥿
kin-lanpan 󱥹‍󱦅
kin-linluwi 󱥹‍󱦤
kin-majuna 󱥹‍󱦢
kin-meso 󱥹‍󱦂
kin-oko 󱥹‍󱥺
kin-su 󱥹‍󱦦
kin-a 󱥹󱦕󱤀
kin-akesi 󱥹󱦕󱤁
kin-ala 󱥹󱦕󱤂
kin-alasa 󱥹󱦕󱤃
kin-ale 󱥹󱦕󱤄
kin-anpa 󱥹󱦕󱤅
kin-ante 󱥹󱦕󱤆
kin-anu 󱥹󱦕󱤇
kin-awen 󱥹󱦕󱤈
kin-e 󱥹󱦕󱤉
kin-en 󱥹󱦕󱤊
kin-esun 󱥹󱦕󱤋
kin-ijo 󱥹󱦕󱤌
kin-ike 󱥹󱦕󱤍
kin-ilo 󱥹󱦕󱤎
kin-insa 󱥹󱦕󱤏
kin-jaki 󱥹󱦕󱤐
kin-jan 󱥹󱦕󱤑
kin-jelo 󱥹󱦕󱤒
kin-jo 󱥹󱦕󱤓
kin-kala 󱥹󱦕󱤔
kin-kalama 󱥹󱦕󱤕
kin-kama 󱥹󱦕󱤖
kin-kasi 󱥹󱦕󱤗
kin-ken 󱥹󱦕󱤘
kin-kepeken 󱥹󱦕󱤙
kin-kili 󱥹󱦕󱤚
kin-kin 󱥹󱦕󱥹
kin-kiwen 󱥹󱦕󱤛
kin-ko 󱥹󱦕󱤜
kin-kon 󱥹󱦕󱤝
kin-kule 󱥹󱦕󱤞
kin-kulupu 󱥹󱦕󱤟
kin-kute 󱥹󱦕󱤠
kin-la 󱥹󱦕󱤡
kin-lape 󱥹󱦕󱤢
kin-laso 󱥹󱦕󱤣
kin-lawa 󱥹󱦕󱤤
kin-len 󱥹󱦕󱤥
kin-lete 󱥹󱦕󱤦
kin-li 󱥹󱦕󱤧
kin-lili 󱥹󱦕󱤨
kin-linja 󱥹󱦕󱤩
kin-lipu 󱥹󱦕󱤪
kin-loje 󱥹󱦕󱤫
kin-lon 󱥹󱦕󱤬
kin-luka 󱥹󱦕󱤭
kin-lukin 󱥹󱦕󱤮
kin-lupa 󱥹󱦕󱤯
kin-ma 󱥹󱦕󱤰
kin-mama 󱥹󱦕󱤱
kin-mani 󱥹󱦕󱤲
kin-meli 󱥹󱦕󱤳
kin-mi 󱥹󱦕󱤴
kin-mije 󱥹󱦕󱤵
kin-moku 󱥹󱦕󱤶
kin-moli 󱥹󱦕󱤷
kin-monsi 󱥹󱦕󱤸
kin-monsuta 󱥹󱦕󱥽
kin-mu 󱥹󱦕󱤹
kin-mun 󱥹󱦕󱤺
kin-musi 󱥹󱦕󱤻
kin-mute 󱥹󱦕󱤼
kin-nanpa 󱥹󱦕󱤽
kin-nasa 󱥹󱦕󱤾
kin-nasin 󱥹󱦕󱤿
kin-nena 󱥹󱦕󱥀
kin-ni 󱥹󱦕󱥁
kin-nimi 󱥹󱦕󱥂
kin-noka 󱥹󱦕󱥃
kin-o 󱥹󱦕󱥄
kin-olin 󱥹󱦕󱥅
kin-ona 󱥹󱦕󱥆
kin-open 󱥹󱦕󱥇
kin-pakala 󱥹󱦕󱥈
kin-pali 󱥹󱦕󱥉
kin-palisa 󱥹󱦕󱥊
kin-pan 󱥹󱦕󱥋
kin-pana 󱥹󱦕󱥌
kin-pi 󱥹󱦕󱥍
kin-pilin 󱥹󱦕󱥎
kin-pimeja 󱥹󱦕󱥏
kin-pini 󱥹󱦕󱥐
kin-pipi 󱥹󱦕󱥑
kin-poka 󱥹󱦕󱥒
kin-poki 󱥹󱦕󱥓
kin-pona 󱥹󱦕󱥔
kin-pu 󱥹󱦕󱥕
kin-sama 󱥹󱦕󱥖
kin-seli 󱥹󱦕󱥗
kin-selo 󱥹󱦕󱥘
kin-seme 󱥹󱦕󱥙
kin-sewi 󱥹󱦕󱥚
kin-sijelo 󱥹󱦕󱥛
kin-sike 󱥹󱦕󱥜
kin-sin 󱥹󱦕󱥝
kin-sina 󱥹󱦕󱥞
kin-sinpin 󱥹󱦕󱥟
kin-sitelen 󱥹󱦕󱥠
kin-sona 󱥹󱦕󱥡
kin-soweli 󱥹󱦕󱥢
kin-suli 󱥹󱦕󱥣
kin-suno 󱥹󱦕󱥤
kin-supa 󱥹󱦕󱥥
kin-suwi 󱥹󱦕󱥦
kin-tan 󱥹󱦕󱥧
kin-taso 󱥹󱦕󱥨
kin-tawa 󱥹󱦕󱥩
kin-telo 󱥹󱦕󱥪
kin-tenpo 󱥹󱦕󱥫
kin-toki 󱥹󱦕󱥬
kin-tomo 󱥹󱦕󱥭
kin-tonsi 󱥹󱦕󱥾
kin-tu 󱥹󱦕󱥮
kin-unpa 󱥹󱦕󱥯
kin-uta 󱥹󱦕󱥰
kin-utala 󱥹󱦕󱥱
kin-walo 󱥹󱦕󱥲
kin-wan 󱥹󱦕󱥳
kin-waso 󱥹󱦕󱥴
kin-wawa 󱥹󱦕󱥵
kin-weka 󱥹󱦕󱥶
kin-wile 󱥹󱦕󱥷
kin-kijetesantakalu 󱥹󱦕󱦀
kin-kipisi 󱥹󱦕󱥻
kin-ku 󱥹󱦕󱦈
kin-leko 󱥹󱦕󱥼
kin-misikeke 󱥹󱦕󱦇
kin-n 󱥹󱦕󱦆
kin-namako 󱥹󱦕󱥸
kin-soko 󱥹󱦕󱦁
kin-epiku 󱥹󱦕󱦃
kin-jasima 󱥹󱦕󱥿
kin-lanpan 󱥹󱦕󱦅
kin-linluwi 󱥹󱦕󱦤
kin-majuna 󱥹󱦕󱦢
kin-meso 󱥹󱦕󱦂
kin-oko 󱥹󱦕󱥺
kin-su 󱥹󱦕󱦦
kin-a 󱥹󱦖󱤀
kin-akesi 󱥹󱦖󱤁
kin-ala 󱥹󱦖󱤂
kin-alasa 󱥹󱦖󱤃
kin-ale 󱥹󱦖󱤄
kin-anpa 󱥹󱦖󱤅
kin-ante 󱥹󱦖󱤆
kin-anu 󱥹󱦖󱤇
kin-awen 󱥹󱦖󱤈
kin-e 󱥹󱦖󱤉
kin-en 󱥹󱦖󱤊
kin-esun 󱥹󱦖󱤋
kin-ijo 󱥹󱦖󱤌
kin-ike 󱥹󱦖󱤍
kin-ilo 󱥹󱦖󱤎
kin-insa 󱥹󱦖󱤏
kin-jaki 󱥹󱦖󱤐
kin-jan 󱥹󱦖󱤑
kin-jelo 󱥹󱦖󱤒
kin-jo 󱥹󱦖󱤓
kin-kala 󱥹󱦖󱤔
kin-kalama 󱥹󱦖󱤕
kin-kama 󱥹󱦖󱤖
kin-kasi 󱥹󱦖󱤗
kin-ken 󱥹󱦖󱤘
kin-kepeken 󱥹󱦖󱤙
kin-kili 󱥹󱦖󱤚
kin-kin 󱥹󱦖󱥹
kin-kiwen 󱥹󱦖󱤛
kin-ko 󱥹󱦖󱤜
kin-kon 󱥹󱦖󱤝
kin-kule 󱥹󱦖󱤞
kin-kulupu 󱥹󱦖󱤟
kin-kute 󱥹󱦖󱤠
kin-la 󱥹󱦖󱤡
kin-lape 󱥹󱦖󱤢
kin-laso 󱥹󱦖󱤣
kin-lawa 󱥹󱦖󱤤
kin-len 󱥹󱦖󱤥
kin-lete 󱥹󱦖󱤦
kin-li 󱥹󱦖󱤧
kin-lili 󱥹󱦖󱤨
kin-linja 󱥹󱦖󱤩
kin-lipu 󱥹󱦖󱤪
kin-loje 󱥹󱦖󱤫
kin-lon 󱥹󱦖󱤬
kin-luka 󱥹󱦖󱤭
kin-lukin 󱥹󱦖󱤮
kin-lupa 󱥹󱦖󱤯
kin-ma 󱥹󱦖󱤰
kin-mama 󱥹󱦖󱤱
kin-mani 󱥹󱦖󱤲
kin-meli 󱥹󱦖󱤳
kin-mi 󱥹󱦖󱤴
kin-mije 󱥹󱦖󱤵
kin-moku 󱥹󱦖󱤶
kin-moli 󱥹󱦖󱤷
kin-monsi 󱥹󱦖󱤸
kin-monsuta 󱥹󱦖󱥽
kin-mu 󱥹󱦖󱤹
kin-mun 󱥹󱦖󱤺
kin-musi 󱥹󱦖󱤻
kin-mute 󱥹󱦖󱤼
kin-nanpa 󱥹󱦖󱤽
kin-nasa 󱥹󱦖󱤾
kin-nasin 󱥹󱦖󱤿
kin-nena 󱥹󱦖󱥀
kin-ni 󱥹󱦖󱥁
kin-nimi 󱥹󱦖󱥂
kin-noka 󱥹󱦖󱥃
kin-o 󱥹󱦖󱥄
kin-olin 󱥹󱦖󱥅
kin-ona 󱥹󱦖󱥆
kin-open 󱥹󱦖󱥇
kin-pakala 󱥹󱦖󱥈
kin-pali 󱥹󱦖󱥉
kin-palisa 󱥹󱦖󱥊
kin-pan 󱥹󱦖󱥋
kin-pana 󱥹󱦖󱥌
kin-pi 󱥹󱦖󱥍
kin-pilin 󱥹󱦖󱥎
kin-pimeja 󱥹󱦖󱥏
kin-pini 󱥹󱦖󱥐
kin-pipi 󱥹󱦖󱥑
kin-poka 󱥹󱦖󱥒
kin-poki 󱥹󱦖󱥓
kin-pona 󱥹󱦖󱥔
kin-pu 󱥹󱦖󱥕
kin-sama 󱥹󱦖󱥖
kin-seli 󱥹󱦖󱥗
kin-selo 󱥹󱦖󱥘
kin-seme 󱥹󱦖󱥙
kin-sewi 󱥹󱦖󱥚
kin-sijelo 󱥹󱦖󱥛
kin-sike 󱥹󱦖󱥜
kin-sin 󱥹󱦖󱥝
kin-sina 󱥹󱦖󱥞
kin-sinpin 󱥹󱦖󱥟
kin-sitelen 󱥹󱦖󱥠
kin-sona 󱥹󱦖󱥡
kin-soweli 󱥹󱦖󱥢
kin-suli 󱥹󱦖󱥣
kin-suno 󱥹󱦖󱥤
kin-supa 󱥹󱦖󱥥
kin-suwi 󱥹󱦖󱥦
kin-tan 󱥹󱦖󱥧
kin-taso 󱥹󱦖󱥨
kin-tawa 󱥹󱦖󱥩
kin-telo 󱥹󱦖󱥪
kin-tenpo 󱥹󱦖󱥫
kin-toki 󱥹󱦖󱥬
kin-tomo 󱥹󱦖󱥭
kin-tonsi 󱥹󱦖󱥾
kin-tu 󱥹󱦖󱥮
kin-unpa 󱥹󱦖󱥯
kin-uta 󱥹󱦖󱥰
kin-utala 󱥹󱦖󱥱
kin-walo 󱥹󱦖󱥲
kin-wan 󱥹󱦖󱥳
kin-waso 󱥹󱦖󱥴
kin-wawa 󱥹󱦖󱥵
kin-weka 󱥹󱦖󱥶
kin-wile 󱥹󱦖󱥷
kin-kijetesantakalu 󱥹󱦖󱦀
kin-kipisi 󱥹󱦖󱥻
kin-ku 󱥹󱦖󱦈
kin-leko 󱥹󱦖󱥼
kin-misikeke 󱥹󱦖󱦇
kin-n 󱥹󱦖󱦆
kin-namako 󱥹󱦖󱥸
kin-soko 󱥹󱦖󱦁
kin-epiku 󱥹󱦖󱦃
kin-jasima 󱥹󱦖󱥿
kin-lanpan 󱥹󱦖󱦅
kin-linluwi 󱥹󱦖󱦤
kin-majuna 󱥹󱦖󱦢
kin-meso 󱥹󱦖󱦂
kin-oko 󱥹󱦖󱥺
kin-su 󱥹󱦖󱦦
kiwen 󱤛
kiwen-a 󱤛‍󱤀
kiwen-akesi 󱤛‍󱤁
kiwen-ala 󱤛‍󱤂
kiwen-alasa 󱤛‍󱤃
kiwen-ale 󱤛‍󱤄
kiwen-anpa 󱤛‍󱤅
kiwen-ante 󱤛‍󱤆
kiwen-anu 󱤛‍󱤇
kiwen-awen 󱤛‍󱤈
kiwen-e 󱤛‍󱤉
kiwen-en 󱤛‍󱤊
kiwen-esun 󱤛‍󱤋
kiwen-ijo 󱤛‍󱤌
kiwen-ike 󱤛‍󱤍
kiwen-ilo 󱤛‍󱤎
kiwen-insa 󱤛‍󱤏
kiwen-jaki 󱤛‍󱤐
kiwen-jan 󱤛‍󱤑
kiwen-jelo 󱤛‍󱤒
kiwen-jo 󱤛‍󱤓
kiwen-kala 󱤛‍󱤔
kiwen-kalama 󱤛‍󱤕
kiwen-kama 󱤛‍󱤖
kiwen-kasi 󱤛‍󱤗
kiwen-ken 󱤛‍󱤘
kiwen-kepeken 󱤛‍󱤙
kiwen-kili 󱤛‍󱤚
kiwen-kin 󱤛‍󱥹
kiwen-kiwen 󱤛‍󱤛
kiwen-ko 󱤛‍󱤜
kiwen-kon 󱤛‍󱤝
kiwen-kule 󱤛‍󱤞
kiwen-kulupu 󱤛‍󱤟
kiwen-kute 󱤛‍󱤠
kiwen-la 󱤛‍󱤡
kiwen-lape 󱤛‍󱤢
kiwen-laso 󱤛‍󱤣
kiwen-lawa 󱤛‍󱤤
kiwen-len 󱤛‍󱤥
kiwen-lete 󱤛‍󱤦
kiwen-li 󱤛‍󱤧
kiwen-lili 󱤛‍󱤨
kiwen-linja 󱤛‍󱤩
kiwen-lipu 󱤛‍󱤪
kiwen-loje 󱤛‍󱤫
kiwen-lon 󱤛‍󱤬
kiwen-luka 󱤛‍󱤭
kiwen-lukin 󱤛‍󱤮
kiwen-lupa 󱤛‍󱤯
kiwen-ma 󱤛‍󱤰
kiwen-mama 󱤛‍󱤱
kiwen-mani 󱤛‍󱤲
kiwen-meli 󱤛‍󱤳
kiwen-mi 󱤛‍󱤴
kiwen-mije 󱤛‍󱤵
kiwen-moku 󱤛‍󱤶
kiwen-moli 󱤛‍󱤷
kiwen-monsi 󱤛‍󱤸
kiwen-monsuta 󱤛‍󱥽
kiwen-mu 󱤛‍󱤹
kiwen-mun 󱤛‍󱤺
kiwen-musi 󱤛‍󱤻
kiwen-mute 󱤛‍󱤼
kiwen-nanpa 󱤛‍󱤽
kiwen-nasa 󱤛‍󱤾
kiwen-nasin 󱤛‍󱤿
kiwen-nena 󱤛‍󱥀
kiwen-ni 󱤛‍󱥁
kiwen-nimi 󱤛‍󱥂
kiwen-noka 󱤛‍󱥃
kiwen-o 󱤛‍󱥄
kiwen-olin 󱤛‍󱥅
kiwen-ona 󱤛‍󱥆
kiwen-open 󱤛‍󱥇
kiwen-pakala 󱤛‍󱥈
kiwen-pali 󱤛‍󱥉
kiwen-palisa 󱤛‍󱥊
kiwen-pan 󱤛‍󱥋
kiwen-pana 󱤛‍󱥌
kiwen-pi 󱤛‍󱥍
kiwen-pilin 󱤛‍󱥎
kiwen-pimeja 󱤛‍󱥏
kiwen-pini 󱤛‍󱥐
kiwen-pipi 󱤛‍󱥑
kiwen-poka 󱤛‍󱥒
kiwen-poki 󱤛‍󱥓
kiwen-pona 󱤛‍󱥔
kiwen-pu 󱤛‍󱥕
kiwen-sama 󱤛‍󱥖
kiwen-seli 󱤛‍󱥗
kiwen-selo 󱤛‍󱥘
kiwen-seme 󱤛‍󱥙
kiwen-sewi 󱤛‍󱥚
kiwen-sijelo 󱤛‍󱥛
kiwen-sike 󱤛‍󱥜
kiwen-sin 󱤛‍󱥝
kiwen-sina 󱤛‍󱥞
kiwen-sinpin 󱤛‍󱥟
kiwen-sitelen 󱤛‍󱥠
kiwen-sona 󱤛‍󱥡
kiwen-soweli 󱤛‍󱥢
kiwen-suli 󱤛‍󱥣
kiwen-suno 󱤛‍󱥤
kiwen-supa 󱤛‍󱥥
kiwen-suwi 󱤛‍󱥦
kiwen-tan 󱤛‍󱥧
kiwen-taso 󱤛‍󱥨
kiwen-tawa 󱤛‍󱥩
kiwen-telo 󱤛‍󱥪
kiwen-tenpo 󱤛‍󱥫
kiwen-toki 󱤛‍󱥬
kiwen-tomo 󱤛‍󱥭
kiwen-tonsi 󱤛‍󱥾
kiwen-tu 󱤛‍󱥮
kiwen-unpa 󱤛‍󱥯
kiwen-uta 󱤛‍󱥰
kiwen-utala 󱤛‍󱥱
kiwen-walo 󱤛‍󱥲
kiwen-wan 󱤛‍󱥳
kiwen-waso 󱤛‍󱥴
kiwen-wawa 󱤛‍󱥵
kiwen-weka 󱤛‍󱥶
kiwen-wile 󱤛‍󱥷
kiwen-kijetesantakalu 󱤛‍󱦀
kiwen-kipisi 󱤛‍󱥻
kiwen-ku 󱤛‍󱦈
kiwen-leko 󱤛‍󱥼
kiwen-misikeke 󱤛‍󱦇
kiwen-n 󱤛‍󱦆
kiwen-namako 󱤛‍󱥸
kiwen-soko 󱤛‍󱦁
kiwen-epiku 󱤛‍󱦃
kiwen-jasima 󱤛‍󱥿
kiwen-lanpan 󱤛‍󱦅
kiwen-linluwi 󱤛‍󱦤
kiwen-majuna 󱤛‍󱦢
kiwen-meso 󱤛‍󱦂
kiwen-oko 󱤛‍󱥺
kiwen-su 󱤛‍󱦦
kiwen-a 󱤛󱦕󱤀
kiwen-akesi 󱤛󱦕󱤁
kiwen-ala 󱤛󱦕󱤂
kiwen-alasa 󱤛󱦕󱤃
kiwen-ale 󱤛󱦕󱤄
kiwen-anpa 󱤛󱦕󱤅
kiwen-ante 󱤛󱦕󱤆
kiwen-anu 󱤛󱦕󱤇
kiwen-awen 󱤛󱦕󱤈
kiwen-e 󱤛󱦕󱤉
kiwen-en 󱤛󱦕󱤊
kiwen-esun 󱤛󱦕󱤋
kiwen-ijo 󱤛󱦕󱤌
kiwen-ike 󱤛󱦕󱤍
kiwen-ilo 󱤛󱦕󱤎
kiwen-insa 󱤛󱦕󱤏
kiwen-jaki 󱤛󱦕󱤐
kiwen-jan 󱤛󱦕󱤑
kiwen-jelo 󱤛󱦕󱤒
kiwen-jo 󱤛󱦕󱤓
kiwen-kala 󱤛󱦕󱤔
kiwen-kalama 󱤛󱦕󱤕
kiwen-kama 󱤛󱦕󱤖
kiwen-kasi 󱤛󱦕󱤗
kiwen-ken 󱤛󱦕󱤘
kiwen-kepeken 󱤛󱦕󱤙
kiwen-kili 󱤛󱦕󱤚
kiwen-kin 󱤛󱦕󱥹
kiwen-kiwen 󱤛󱦕󱤛
kiwen-ko 󱤛󱦕󱤜
kiwen-kon 󱤛󱦕󱤝
kiwen-kule 󱤛󱦕󱤞
kiwen-kulupu 󱤛󱦕󱤟
kiwen-kute 󱤛󱦕󱤠
kiwen-la 󱤛󱦕󱤡
kiwen-lape 󱤛󱦕󱤢
kiwen-laso 󱤛󱦕󱤣
kiwen-lawa 󱤛󱦕󱤤
kiwen-len 󱤛󱦕󱤥
kiwen-lete 󱤛󱦕󱤦
kiwen-li 󱤛󱦕󱤧
kiwen-lili 󱤛󱦕󱤨
kiwen-linja 󱤛󱦕󱤩
kiwen-lipu 󱤛󱦕󱤪
kiwen-loje 󱤛󱦕󱤫
kiwen-lon 󱤛󱦕󱤬
kiwen-luka 󱤛󱦕󱤭
kiwen-lukin 󱤛󱦕󱤮
kiwen-lupa 󱤛󱦕󱤯
kiwen-ma 󱤛󱦕󱤰
kiwen-mama 󱤛󱦕󱤱
kiwen-mani 󱤛󱦕󱤲
kiwen-meli 󱤛󱦕󱤳
kiwen-mi 󱤛󱦕󱤴
kiwen-mije 󱤛󱦕󱤵
kiwen-moku 󱤛󱦕󱤶
kiwen-moli 󱤛󱦕󱤷
kiwen-monsi 󱤛󱦕󱤸
kiwen-monsuta 󱤛󱦕󱥽
kiwen-mu 󱤛󱦕󱤹
kiwen-mun 󱤛󱦕󱤺
kiwen-musi 󱤛󱦕󱤻
kiwen-mute 󱤛󱦕󱤼
kiwen-nanpa 󱤛󱦕󱤽
kiwen-nasa 󱤛󱦕󱤾
kiwen-nasin 󱤛󱦕󱤿
kiwen-nena 󱤛󱦕󱥀
kiwen-ni 󱤛󱦕󱥁
kiwen-nimi 󱤛󱦕󱥂
kiwen-noka 󱤛󱦕󱥃
kiwen-o 󱤛󱦕󱥄
kiwen-olin 󱤛󱦕󱥅
kiwen-ona 󱤛󱦕󱥆
kiwen-open 󱤛󱦕󱥇
kiwen-pakala 󱤛󱦕󱥈
kiwen-pali 󱤛󱦕󱥉
kiwen-palisa 󱤛󱦕󱥊
kiwen-pan 󱤛󱦕󱥋
kiwen-pana 󱤛󱦕󱥌
kiwen-pi 󱤛󱦕󱥍
kiwen-pilin 󱤛󱦕󱥎
kiwen-pimeja 󱤛󱦕󱥏
kiwen-pini 󱤛󱦕󱥐
kiwen-pipi 󱤛󱦕󱥑
kiwen-poka 󱤛󱦕󱥒
kiwen-poki 󱤛󱦕󱥓
kiwen-pona 󱤛󱦕󱥔
kiwen-pu 󱤛󱦕󱥕
kiwen-sama 󱤛󱦕󱥖
kiwen-seli 󱤛󱦕󱥗
kiwen-selo 󱤛󱦕󱥘
kiwen-seme 󱤛󱦕󱥙
kiwen-sewi 󱤛󱦕󱥚
kiwen-sijelo 󱤛󱦕󱥛
kiwen-sike 󱤛󱦕󱥜
